id,Gender,Age,SibSp,SurvRate_1,NumPassengers_1,SurvRate_2,NumPassengers_2,SurvRate_3,NumPassengers_3,SurvRate_4,NumPassengers_4
1,male,child,hassibsp,38,891,18,577,33,71,34,43
2,male,child,nosibsp,38,891,18,577,33,71,32,28
3,male,young,hassibsp,38,891,18,577,15,180,17,34
4,male,young,nosibsp,38,891,18,577,15,180,15,146
5,male,middle,hassibsp,38,891,18,577,22,129,17,34
6,male,middle,nosibsp,38,891,18,577,22,129,24,95
7,male,old,hassibsp,38,891,18,577,18,54,46,13
8,male,old,nosibsp,38,891,18,577,18,54,9,41
9,male,older,hassibsp,38,891,18,577,10,19,0,2
10,male,older,nosibsp,38,891,18,577,10,19,11,17
11,female,child,hassibsp,38,891,74,314,67,68,57,35
12,female,child,nosibsp,38,891,74,314,67,68,78,33
13,female,young,hassibsp,38,891,74,314,75,90,66,33
14,female,young,nosibsp,38,891,74,314,75,90,80,57
15,female,middle,hassibsp,38,891,74,314,78,73,79,34
16,female,middle,nosibsp,38,891,74,314,78,73,76,39
17,female,old,hassibsp,38,891,74,314,85,27,85,14
18,female,old,nosibsp,38,891,74,314,85,27,84,13
19,female,older,hassibsp,38,891,74,314,100,3,100,1
20,female,older,nosibsp,38,891,74,314,100,3,100,2
