id,Gender,Age,SibSp,SurvRate,NumPassengers
1,all,all,all,38,891
2,male,all,all,18,577
3,male,child,all,33,71
4,male,child,hassibsp,34,43
5,male,child,nosibsp,32,28
6,male,young,all,15,180
7,male,young,hassibsp,17,34
8,male,young,nosibsp,15,146
9,male,middle,all,22,129
10,male,middle,hassibsp,17,34
11,male,middle,nosibsp,24,95
12,male,old,all,18,54
13,male,old,hassibsp,46,13
14,male,old,nosibsp,9,41
15,male,older,all,10,19
16,male,older,hassibsp,0,2
17,male,older,nosibsp,11,17
18,female,all,all,74,314
19,female,child,all,67,68
20,female,child,hassibsp,57,35
21,female,child,nosibsp,78,33
22,female,young,all,75,90
23,female,young,hassibsp,66,33
24,female,young,nosibsp,80,57
25,female,middle,all,78,73
26,female,middle,hassibsp,79,34
27,female,middle,nosibsp,76,39
28,female,old,all,85,27
29,female,old,hassibsp,85,14
30,female,old,nosibsp,84,13
31,female,older,all,100,3
32,female,older,hassibsp,100,1
33,female,older,nosibsp,100,2
